pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,woba,xwoba
608337,"Giolito, Lucas",2020,R,1192,145,58,-1.0838274207418097,6.480003367360912,0.221727556037363,4.404451620125171,Starter,12,0,1214,288,33.68055555555556,9.722222222222223,36.58536585365854,5.590062111801243,35.40372670807454,0.25742013888888887,0.2699567735191638
642130,"Taylor, Blake",2020,L,386,117,53,0.9768916616599376,6.009286924363592,-0.3274978849874854,4.270878599108687,Reliever,0,22,341,85,20.0,12.941176470588237,19.727891156462583,5.172413793103448,22.413793103448278,0.2596470588235294,0.26302286904761907
605525,"Wendelken, J.B.",2020,R,463,133,39,-1.8162146651989253,5.79746868654649,-0.101030098910269,4.398679251197337,Reliever,0,21,427,106,29.245283018867923,10.377358490566039,26.5625,4.761904761904762,31.746031746031743,0.24487735849056605,0.26523962500000003
448855,"Guerra, Junior",2020,R,364,109,53,-0.8359142119767686,5.909236673782212,0.4311765107301662,4.197703761427649,Reliever,0,25,404,101,20.792079207920793,12.871287128712872,26.804123711340207,4.615384615384616,27.692307692307693,0.2814356435643564,0.32070845918367347
666200,"Luzardo, Jesús",2020,L,1072,133,29,2.120355023944476,5.700110732407034,0.0517781604291139,4.542926079865102,Starter,9,3,940,249,23.694779116465863,6.425702811244979,29.550827423167846,7.100591715976331,36.68639053254438,0.31608835341365465,0.31817747950819675
677976,"Dobnak, Randy",2020,R,743,142,17,-2.5664562834772573,5.208236109175786,-0.3252711891648253,4.522321906818062,Starter,10,0,748,200,13.5,6.5,20.391061452513966,5.194805194805195,40.909090909090914,0.30961,0.3115737886597938
596057,"Norris, Daniel",2020,L,458,116,42,1.8867733895745311,6.10346839952504,0.1784563712719606,4.553296112644391,Reliever,1,13,490,116,24.137931034482758,6.0344827586206895,27.586206896551722,7.5,45.0,0.27586206896551724,0.29566383333333335
445276,"Jansen, Kenley",2020,R,513,119,62,-0.6221935274227253,6.276672564986682,0.4720568772846282,4.199650462159437,Reliever,0,27,446,103,32.038834951456316,8.737864077669903,30.638297872340424,3.508771929824561,14.035087719298245,0.2767864077669903,0.26647627999999995
628317,"Maeda, Kenta",2020,R,912,142,37,-1.850971776903049,5.759846191349739,-0.0786202060322234,4.406685434564575,Starter,11,0,986,248,32.25806451612903,4.032258064516129,34.68208092485549,6.962025316455696,24.68354430379747,0.2188266129032258,0.2569069512195122
642397,"Soto, Gregory",2020,L,352,116,39,1.8825271844276383,5.685541779894935,0.1171156172932112,4.258171766060505,Reliever,0,27,394,98,29.591836734693878,13.26530612244898,28.846153846153843,5.555555555555555,35.18518518518518,0.28135714285714286,0.2926539072164948
663903,"Singer, Brady",2020,R,973,118,35,-1.6869312340680884,5.510096017384803,0.0467401064137231,4.274078502104731,Starter,12,0,1071,263,23.193916349809886,8.745247148288973,24.22222222222222,4.519774011299435,40.11299435028249,0.285254752851711,0.30108950190114064
474463,"Anderson, Brett",2020,L,666,158,45,1.6827378127549952,6.3181399302780745,0.0758804359172006,4.708464816822169,Starter,10,0,752,203,15.270935960591133,4.926108374384237,19.526627218934912,6.41025641025641,48.07692307692308,0.32629556650246305,0.33331441
605540,"Woodruff, Brandon",2020,R,1111,158,43,-1.5243864596311754,5.909864376575488,0.1948251422526705,4.323749848922631,Starter,13,0,1211,293,31.058020477815703,6.143344709897611,28.888888888888886,7.222222222222221,33.88888888888889,0.26429351535836176,0.26389093103448275
547942,"Kim, Kwang Hyun",2020,L,497,138,57,0.7893648686535807,5.782317362239154,-0.4014678371073139,3.939024878625266,Starter,7,1,613,154,15.584415584415584,6.493506493506493,18.345323741007196,4.23728813559322,31.35593220338983,0.2480324675324675,0.30045467105263163
471911,"Carrasco, Carlos",2020,R,1057,114,35,-1.9496631472965449,5.723445229953299,-0.0801282309222605,4.393290294982232,Starter,12,0,1101,280,29.28571428571429,9.642857142857144,32.588454376163874,8.284023668639055,34.9112426035503,0.2913107142857143,0.3000927446043165
547943,"Ryu, Hyun Jin",2020,L,690,141,39,1.7793111117064626,5.785866682321821,0.0721088780204769,4.3941293305765,Starter,12,0,1132,275,26.181818181818183,6.181818181818182,25.985663082437277,3.2432432432432434,29.18918918918919,0.27791636363636363,0.2742111808118081
656232,"Bielak, Brandon",2020,R,547,117,46,-1.377308609685597,6.185243080765499,0.2460248753022482,4.489912453002845,Reliever,6,6,597,148,17.56756756756757,11.486486486486488,27.37226277372263,8.737864077669903,39.80582524271845,0.40864864864864864,0.3971347465753425
605288,"Houser, Adrian",2020,R,912,158,45,-1.4990555270537176,6.086345084821297,0.1979705698295566,4.373652660277026,Starter,11,1,922,248,17.741935483870968,8.46774193548387,22.345132743362832,5.649717514124294,32.7683615819209,0.3504959677419355,0.33236911788617884
