pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
621112,"Blackburn, Paul",2022,R,1761,133,50,-1.3514283977879695,5.964208262617084,0.1025572963323992,4.232492371960914,Starter,21,0,1762,467,19.05781584582441,5.995717344753747,23.596938775510203,6.997084548104956,40.524781341107875,0.31437423593073593
621368,"Hearn, Taylor",2022,L,1773,140,36,2.0059550950023857,6.272430344700355,0.0179632599006889,4.8223958016011625,Reliever,13,18,1787,451,21.507760532150776,9.534368070953436,22.235157159487777,9.803921568627452,40.19607843137255,0.3372049910514542
605242,"Fulmer, Michael",2022,R,1042,142,39,-1.721079630327787,5.9249959269063925,0.018782491335393,4.536866643401389,Reliever,0,67,1043,271,22.509225092250922,8.118081180811808,28.749999999999996,4.395604395604396,36.81318681318682,0.30183864074074074
650556,"Abreu, Bryan",2022,R,1184,117,40,-1.707359727615378,5.7663370009099815,0.0294061245904995,4.29547473781435,Reliever,0,55,1019,249,35.34136546184739,10.441767068273093,39.12175648702595,3.8461538461538463,32.30769230769231,0.2690453279352227
661309,"Martinez, Adrián",2022,R,1015,133,18,-2.322089846959214,5.578260323163,-0.104494980813642,4.841866351167427,Starter,12,0,1015,260,20.0,6.923076923076923,24.016563146997928,10.326086956521738,37.5,0.3540117480620155
543037,"Cole, Gerrit",2022,R,3578,147,40,-1.798296603619829,5.737964986014043,-0.1242809945457933,4.346283996103139,Starter,33,0,3274,796,32.28643216080402,6.281407035175879,33.92517438173748,9.523809523809524,40.165631469979296,0.2843039821656051
543294,"Hendricks, Kyle",2022,R,1347,112,47,-1.4765402596565842,6.2435418312618935,0.1530989855981537,4.475583322680494,Starter,16,0,1347,357,18.207282913165265,6.722689075630252,23.941368078175895,9.923664122137405,38.93129770992366,0.34476845170454545
571710,"Givens, Mychal",2022,R,1044,121,5,-2.753182744582036,4.55180689230449,-0.5711473417405972,4.34266410607085,Reliever,1,58,1026,258,27.131782945736433,8.13953488372093,27.078891257995735,8.176100628930817,37.735849056603776,0.29943750592885376
623167,"Flexen, Chris",2022,R,2200,136,66,-0.5848232550621941,6.9120614744107485,0.3321181671122998,4.844729002754819,Starter,22,11,2204,589,16.129032258064516,8.149405772495756,21.74721189591078,9.049773755656108,40.04524886877828,0.3303752363013699
665152,"Kremer, Dean",2022,R,1867,110,38,-1.7917996541289165,5.889546204052478,-0.0319318763742532,4.539055606619145,Starter,21,1,1947,513,16.95906432748538,6.627680311890838,22.188449848024316,7.2727272727272725,39.22077922077922,0.32627379371316306
665665,"Sanmartin, Reiver",2022,L,1020,113,21,2.4509208193575587,5.261970860830846,0.4253787119464539,4.483278117682011,Reliever,4,41,1031,254,18.503937007874015,10.62992125984252,25.53191489361702,7.222222222222221,35.55555555555556,0.30552812698412696
621121,"McCullers Jr., Lance",2022,R,1022,117,25,-2.3190136892610687,5.256156746503719,-0.2683554191041297,4.301800191334319,Starter,8,0,759,196,25.0,11.224489795918368,27.134146341463417,4.878048780487805,32.52032520325203,0.294048041025641
506433,"Darvish, Yu",2022,R,3352,135,40,-1.7738461408128088,5.468337091366894,-0.2141030274314108,4.173846995780848,Starter,30,0,2971,771,25.421530479896237,4.798962386511025,25.135501355013552,8.761904761904763,37.142857142857146,0.290851671875
672578,"Hernández, Carlos",2022,R,1001,118,42,-1.6307060933801787,6.110521404995497,0.1812884495183961,4.451492335828172,Reliever,7,20,1035,266,13.157894736842104,11.278195488721805,23.625254582484725,8.040201005025125,38.19095477386934,0.35049823106060607
425794,"Wainwright, Adam",2022,R,3132,138,46,-1.609926744850162,6.305534382186044,-0.1122170234574731,4.744019084011173,Starter,32,0,3133,805,17.391304347826086,6.583850931677018,16.886930983847286,6.51085141903172,36.56093489148581,0.32775520973782774
605507,"Thompson, Zach",2022,R,2079,134,47,-1.6044756131279525,6.636861512053892,0.0836566251600119,4.820962989027881,Starter,22,7,2080,545,16.51376146788991,8.440366972477065,23.950870010235413,6.435643564356436,39.603960396039604,0.34663375785582257
682051,"Hill, Garrett",2022,R,1019,116,36,-1.7453576458000604,5.306058047629836,-0.0346583934653351,4.077214050071804,Reliever,8,9,1019,263,15.209125475285171,11.02661596958175,19.616204690831555,9.473684210526317,39.473684210526315,0.3634825496183206
