"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
605540,"Woodruff, Brandon",2022,"R",2536,158,44,-1.5479738956284383,5.881928026858427,0.0831835776933372,4.322522942005888
554340,"García, Yimi",2022,"R",1052,141,23,-2.5638543839235965,5.105369399058445,-0.3136807791626849,4.13650926136787
676710,"Crawford, Kutter",2022,"R",1296,111,47,-1.4137249654829065,6.0105458891865275,0.056297474609933736,4.451456467314763
622694,"Hernández, Elieser",2022,"R",1092,146,38,-1.5727393450748899,5.298498409203725,-0.07500252917017622,4.144153482383622
471911,"Carrasco, Carlos",2022,"R",2412,121,34,-2.087419023225507,5.698976652586626,-0.22201828321257638,4.4250363061031734
605288,"Houser, Adrian",2022,"R",1847,158,44,-1.6980283912534757,5.982825273829596,-0.017020338420351153,4.341180910364832
642152,"Trivino, Lou",2022,"R",1005,147,34,-2.0900374054461563,6.017259406225763,-0.16765356648131874,4.705178237156459
623465,"Phillips, Evan",2022,"R",976,119,29,-2.0681641012254173,5.383503456026835,-0.171938077861547,4.329039930707751
547179,"Lorenzen, Michael",2022,"R",1654,108,34,-1.9437149249801027,5.622702880069912,-0.1026022699252285,4.35914509706928
657006,"Steele, Justin",2022,"L",2032,112,46,1.5104592992809065,6.101266580654297,0.002801716168750955,4.524969985841512
594798,"deGrom, Jacob",2022,"R",1039,121,32,-2.0534875483726074,5.601914940063705,-0.038872343745442885,4.326901129994389
571760,"Heaney, Andrew",2022,"L",1285,119,27,2.404002289507094,5.113013880533668,0.3775282896023639,4.078761554200741
601713,"Pivetta, Nick",2022,"R",2979,111,55,-1.1470906501816525,6.58468836822135,0.14093290182196355,4.724306509081092
671345,"Foley, Jason",2022,"R",961,116,28,-2.362495887909888,5.662275783234381,-0.21830605235188405,4.533945368479433
623474,"Herget, Jimmy",2022,"R",996,108,1,-2.9481882096530017,4.938694577631712,-0.6410612592974397,4.905462528635035
656756,"Montgomery, Jordan",2022,"L",2620,138,42,1.7323552883662316,6.508141515351233,-0.08673001541005028,4.8647685823774305
425844,"Greinke, Zack",2022,"R",2169,118,43,-1.544685636343778,6.204913349075636,-0.021968356208739423,4.776555592866257
518516,"Bumgarner, Madison",2022,"L",2713,109,24,2.5947295542888225,5.629548553356413,0.527696601331281,4.690958444158412
669302,"Gilbert, Logan",2022,"R",3008,136,50,-1.4299127076193177,6.093184055474374,0.07638080887093718,4.327359510793554
543606,"Odorizzi, Jake",2022,"R",1850,144,40,-1.5755766536921907,5.977858489172714,0.04712773608903031,4.5931173236980305
592761,"Smith, Caleb",2022,"L",1234,109,47,1.1590176706572297,6.273847147638546,-0.35565232090183935,4.661451473621718
608379,"Wacha, Michael",2022,"R",1949,111,55,-1.0822838008158024,6.637020332609861,0.19827379619696195,4.836317799383385
657277,"Webb, Logan",2022,"R",3005,137,14,-2.646673092205859,4.8256580023299485,-0.44343985274097547,4.28554920106418
676477,"Whitlock, Garrett",2022,"R",1166,111,36,-1.9629184362132712,5.6026906588045655,-0.16798022139465477,4.311262286088616
519293,"Smith, Will",2022,"L",985,117,42,1.7080520318090933,6.539947629581399,0.004347183691196826,5.005255268872659
592767,"Smyly, Drew",2022,"L",1723,112,44,1.6379695681644735,6.420476454926839,-0.04200114628239311,4.791053926068926
641154,"López, Pablo",2022,"R",2905,146,30,-2.376614250909263,5.458399022831232,-0.3231543901810457,4.2914148584559815
519043,"Moore, Matt",2022,"L",1215,140,44,1.6277023406547317,6.394250446774694,-0.08714220483704146,4.743566342436713
669060,"Wilson, Bryse",2022,"R",1825,134,38,-2.055394002698415,5.479858096840708,-0.2646658258491442,4.070368622860351
607625,"Lugo, Seth",2022,"R",1116,121,39,-1.9252622749169652,5.637193430898448,-0.04861304641928456,4.13901463312761
624522,"Thompson, Keegan",2022,"R",1808,112,42,-1.5010439832683935,5.779629763950346,0.15662556818181797,4.308323380834638
663436,"Martin, Davis",2022,"R",1042,145,45,-1.6590441315488003,6.2272020751229205,-0.08712027346970892,4.632749915492278
642701,"Santana, Dennis",2022,"R",991,140,28,-2.4555102755728413,5.739854271919994,-0.3488514096566063,4.596285251038315
645261,"Alcantara, Sandy",2022,"R",3237,146,34,-2.264335658478535,6.050368765804355,-0.1772783112705863,4.646218920134122
656271,"Burke, Brock",2022,"L",1291,140,41,1.7549805801189222,6.220279994559019,0.06069480884389532,4.724358642307707
664208,"Maton III, Phil",2022,"R",1078,117,27,-2.1404685077514913,5.234105109662713,-0.15543026896709103,4.218762987591728
656529,"Hentges, Sam",2022,"L",1040,114,39,1.8882102737615725,6.446662198014634,-0.0913019293329219,4.819391760935144
595345,"Okert, Steven",2022,"L",968,146,30,2.538684660494055,5.710995461463364,0.4643793649916767,4.530267353898733
669330,"Wells, Tyler",2022,"R",1649,110,51,-1.491574940544466,6.861858977341002,0.07933119980888331,4.9452275276757165
594835,"Gonzales, Marco",2022,"L",2773,136,39,1.6216230860487362,5.52178190903192,0.03138960902592033,4.216398361074102
661395,"Duran, Jhoan",2022,"R",991,142,37,-1.8554432032037176,6.072277419043487,0.08102574795260735,4.635536416608658
453268,"Bard, Daniel",2022,"R",953,115,30,-2.229414316524403,5.842159449042836,-0.1849210656656062,4.6582072240209635
650644,"Civale, Aaron",2022,"R",1590,114,46,-1.132020267731094,6.249793179507005,0.36391888597405786,4.727269689794728
592789,"Syndergaard, Noah",2022,"R",2138,143,39,-1.7313326095809067,6.237935734441127,0.021797478777206843,4.810608478195262
641941,"Pagán, Emilio",2022,"R",1126,142,43,-1.4063581311831506,5.543064135397653,0.20384566825923014,4.064290371719496
592791,"Taillon, Jameson",2022,"R",2883,147,43,-1.6984564664450224,6.092128887900989,-0.020496665930901083,4.513335435922546
571800,"Hutchison, Drew",2022,"R",1759,116,46,-1.9095930307679372,6.106816101223955,-0.43609710103070665,4.601210958361327
656793,"Nelson, Nick",2022,"R",1234,143,46,-1.527178156195219,5.8279824675563185,-0.07202359058696414,4.3231455924243924
608665,"Graveman, Kendall",2022,"R",1035,145,43,-1.647081754994103,5.71050886968004,-0.03033487922705313,4.200371845737858
518553,"Cishek, Steve",2022,"R",1159,120,6,-2.85914513029571,4.2718983948174225,-0.43215054306450806,4.0379031378854755
661403,"Clase, Emmanuel",2022,"R",1001,114,53,-1.2569526866791287,6.0881356267493345,0.16299844656235038,4.219825442471962
622491,"Castillo, Luis",2022,"R",2718,136,17,-2.342251393979344,5.186510411194512,-0.11959121418050132,4.509020534687216
502171,"Cobb, Alex",2022,"R",2418,137,41,-2.0066892650287484,5.7891420489691825,-0.3587500681165766,4.36038231482833
450203,"Morton, Charlie",2022,"R",2942,144,21,-2.5928106385489036,5.411191874108218,-0.3428352149882885,4.562835977441471
519326,"Strickland, Hunter",2022,"R",1068,113,30,-2.2880538842646043,5.828628238888648,-0.3691219520886325,4.73277613519531
663455,"Pilkington, Konnor",2022,"L",1039,114,39,2.0754393682369017,5.8795601592422635,0.2664632649314867,4.399070222121571
543135,"Eovaldi, Nathan",2022,"R",1715,111,32,-2.4996593809655354,5.500856026111605,-0.498315837763677,4.273078156769203
642207,"Williams, Devin",2022,"R",1068,158,26,-2.0978541851967147,5.272521591216162,-0.2791630161495987,4.380266340286541
542881,"Anderson, Tyler",2022,"L",2606,119,45,1.496945312923408,6.018117126555477,-0.032723557353591,4.475096548756954
605347,"López, Jorge",2022,"R",1159,142,36,-1.7162771706679447,5.845403795811582,0.04000239726606783,4.588213361524709
502179,"Espino, Paolo",2022,"R",1847,120,52,-1.1146816963239936,5.746130945565417,0.10092441908495446,4.203076285965481
663460,"Bubic, Kris",2022,"L",2198,118,41,1.8212530906782063,5.704065081862186,0.11441965958357868,4.236679513258691
446372,"Kluber, Corey",2022,"R",2454,139,32,-2.332413555804849,5.327812142883887,-0.5222468367698265,4.197771550613284
453286,"Scherzer, Max",2022,"R",2243,121,28,-2.3553865688694153,5.570723175936005,-0.4035034309553272,4.532927799698484
